Probe Set ID	SL2_1_Exp	SL2_2_Exp	Clone8_1_Exp	Clone8_2_Exp	SL2_1_Call	SL2_2_Call	Clone8_1_Call	Clone8_2_Call
1626864_at	1862.6	1907.8	1706.9	2388.3	P	P	P	P
1641699_at	1412.2	1368.5	956.4	1090	P	P	P	P
1637607_at	197	159.5	302.5	295.9	P	P	P	P
1624467_a_at	509.3	887.2	498.5	552.8	P	P	P	P
1636585_a_at	28.4	16.6	24.2	4.1	P	P	P	A
1626393_at	365.9	265.6	471.9	533.5	P	P	P	P
1631617_at	640.2	521.4	620.6	542.4	P	P	P	P
1640001_at	3550.9	3554.3	1592.8	1637.9	P	P	P	P
1639288_at	1035.2	1312.3	945.8	1373.2	P	P	P	P
1628557_at	1431.9	1286.8	895.7	1032.1	P	P	P	P
1629927_at	10.4	4.6	4.1	1.1	A	A	A	A
1632496_at	373.7	235.5	213.2	268.3	P	P	A	P
1633840_a_at	1592.7	1650.4	995.6	833.5	P	P	P	P
1632304_at	164.4	102.1	159.6	85.3	P	P	P	P
1638126_at	5684.1	5174.9	4074.9	4742.9	P	P	P	P
1633452_a_at	24.3	14.4	43.3	27.4	A	A	A	M
1623424_a_at	1108.3	837	1109.6	1049.5	P	P	P	P
1631340_at	108.5	73	236.1	98.8	A	P	P	P
1639761_s_at	13092.6	15503.6	10938	14505	P	P	P	P
1629839_a_at	168.3	195.5	198.2	212.3	P	P	P	P
1631820_at	7.5	24.1	8.6	10.8	A	A	A	A
1623324_at	1062.8	967.8	526.5	508.4	P	P	P	P
1635281_at	1017.6	783.3	582.2	557.7	P	P	P	P
1627782_at	3053.3	3997.7	1592.5	1652.7	P	P	P	P
1638059_at	3698.6	3693.4	2882.8	3106.4	P	P	P	P
1633003_at	3023.3	3850	1947	2537.6	P	P	P	P
1628302_at	8.3	37.3	3.8	2.7	A	A	A	A
1624384_at	46.1	43.4	21.9	19.5	A	A	A	A
1629730_at	4502.9	7061.8	5581.7	5480.9	P	P	P	P
1640711_at	40.2	9.1	21.9	27	A	A	A	A
1630055_a_at	4438	4005.5	3129.7	2941.2	P	P	P	P
1623647_at	4225.2	3516.2	1969.6	2404.7	P	P	P	P
1636801_at	3758.7	2922.3	1917.4	1530.8	P	P	P	P
1625814_at	4260.7	3000.4	2731.5	1779.4	P	P	P	P
1639048_a_at	856.9	1139.6	432.5	705.9	P	P	P	P
1637300_at	853.3	865.1	425.3	600.2	P	P	P	P
1635978_at	2385.2	2247	2797.7	2482.3	P	P	P	P
1633048_at	135.3	37.3	141.3	11.3	A	A	A	A
1625130_at	74.8	82.7	74.3	21.3	P	P	P	A
1636227_at	38	4.2	12.3	9.1	A	A	A	A
1630186_at	21.1	18.2	22.8	1.2	A	A	A	A
1638222_at	47.5	30.3	16.6	11.8	A	A	A	A
1627576_at	1322	1040.1	411.9	702.7	P	P	P	P
1632966_at	63.9	23.9	2.8	1.4	P	A	A	A
1638550_s_at	2945.3	2600	2486.5	1605.2	P	P	P	P
1640058_at	7	12.8	3.4	12.2	A	A	A	A
1626670_at	30.6	31	38.9	12.9	A	A	A	A
1637735_at	2427.8	2726.4	1605.5	2093.6	P	P	P	P
1631823_at	6.4	30.1	2.4	11.3	A	A	A	A
1624105_at	86.1	50.2	63.1	48.7	P	P	P	P
1639633_at	100.2	128.7	143.5	128.6	P	P	P	P
1623041_at	421	438.8	624.7	503.1	P	P	P	P
1629965_at	606.3	533.8	325.6	266.3	P	P	P	P
1626469_at	3179.4	3299.2	2370.6	2677.9	P	P	P	P
1637354_at	22.5	13.1	6.1	16.5	A	A	A	A
1639043_at	15.6	13.6	7.1	57.9	A	A	A	A
1641280_at	25.5	3.5	33.4	2.2	A	A	A	A
1634700_at	11207.8	11481.9	8035.4	8684.3	P	P	P	P
1635087_at	14.5	11.8	30.7	4.2	A	A	A	A
1628210_at	412.5	241.3	391.9	359.1	P	P	P	P
1639364_at	31	2.8	11.1	14.4	A	A	A	A
1626963_at	54.9	30.1	29.9	29.1	A	A	A	A
1635110_at	297.8	215.8	1268.9	391.3	P	P	P	P
1627986_s_at	44.2	18.8	43.1	4.7	A	A	A	A
1640640_at	65.6	73.3	113.2	114.4	A	A	P	P
1631366_at	346.7	225.8	299.4	124.6	P	P	P	P
1628468_at	6	4.2	2.8	6.9	A	A	A	A
1639749_a_at	215.2	158.6	1078.3	963.9	P	P	P	P
1635152_at	24.2	9.7	7.2	10.1	A	A	A	A
1629961_s_at	1147.7	1203.6	1449.8	2024.1	P	P	P	P
1639625_at	1999	1803	1767.7	1603.1	P	P	P	P
1632233_at	624.4	468.4	717.9	555.5	P	P	P	P
